0.4944,130032
0.7416,130928
0.9888,130728
1.236,130423
1.4832,130322
1.7304,130646
1.9776,131453
2.2248,130655
2.472,129498
2.7192,128856
2.9664,129682
3.2136,129270
3.4608,129256
3.708,129623
3.9552,130429
4.2024,130240
4.4496,130089
4.6968,130750
4.944,130881
5.1912,130195
5.4384,130492
5.6856,130675
5.9328,130755
6.18,130088
6.4272,130099
6.6744,130730
6.9216,129659
7.1688,129165
7.416,128144
7.6632,128464
7.9104,127476
8.1576,127865
8.4048,127662
8.652,128673
8.8992,127171
9.1464,129042
9.3936,128035
9.6408,127474
9.888,125956
10.1352,126118
10.3824,125626
10.6296,126207
10.8768,126134
11.124,126477
11.3712,126058
11.6184,125700
11.8656,126775
12.1128,126610
12.36,125824
12.6072,126003
12.8544,125315
13.1016,125841
13.3488,125600
13.596,125047
13.8432,124573
14.0904,124705
14.3376,124941
14.5848,124936
14.832,123671
15.0792,123801
15.3264,124809
15.5736,123710
15.8208,123732
16.068,122887
16.3152,122851
16.5624,123533
16.8096,123058
17.0568,122954
17.304,122771
17.5512,122469
17.7984,121580
18.0456,120625
18.2928,119947
18.54,119949
18.7872,120512
19.0344,121263
19.2816,119716
19.5288,119301
19.776,120616
20.0232,120726
20.2704,121047
20.5176,120821
20.7648,121066
21.012,120273
21.2592,119634
21.5064,119971
21.7536,120281
22.0008,120471
22.248,119533
22.4952,119180
22.7424,120045
22.9896,118354
23.2368,118596
23.484,117831
23.7312,118021
23.9784,117615
24.2256,117410
24.4728,117978
24.72,117921
24.9672,117623
25.2144,117864
25.4616,117819
25.7088,117908
25.956,116916
26.2032,115750
26.4504,117258
26.6976,115994
26.9448,116622
27.192,116422
27.4392,115772
27.6864,114637
27.9336,114875
28.1808,114985
28.428,115828
28.6752,115067
28.9224,114304
29.1696,113781
29.4168,112977
29.664,112865
29.9112,111456
30.1584,112033
30.4056,112200
30.6528,111763
30.9,111053
31.1472,110993
31.3944,111729
31.6416,110615
31.8888,110955
32.136,110809
32.3832,110227
32.6304,109840
32.8776,110321
33.1248,110408
33.372,109295
33.6192,110065
33.8664,110592
34.1136,109657
34.3608,109458
34.608,109716
34.8552,109460
35.1024,109310
35.3496,108383
35.5968,109248
35.844,109858
36.0912,109221
36.3384,108791
36.5856,108270
36.8328,107032
37.08,108685
37.3272,107784
37.5744,107864
37.8216,107897
38.0688,107734
38.316,106586
38.5632,106089
38.8104,107307
39.0576,107049
39.3048,105851
39.552,106516
39.7992,105982
40.0464,106282
40.2936,106515
40.5408,106334
40.788,105328
41.0352,105242
41.2824,104370
41.5296,105111
41.7768,104892
42.024,104582
42.2712,104658
42.5184,105415
42.7656,105276
43.0128,104367
43.26,104216
43.5072,104552
43.7544,104625
44.0016,104346
44.2488,103540
44.496,103684
44.7432,102553
44.9904,101970
45.2376,101135
45.4848,100904
45.732,100577
45.9792,101905
46.2264,101673
46.4736,101637
46.7208,101904
46.968,101100
47.2152,100728
47.4624,101123
47.7096,100465
47.9568,100020
48.204,100995
48.4512,101427
48.6984,100489
48.9456,100055
49.1928,99804
49.44,99953
49.6872,100046
49.9344,98697
50.1816,99557
50.4288,100265
50.676,99833
50.9232,100006
51.1704,99461
51.4176,100123
51.6648,99621
51.912,99029
52.1592,98500
52.4064,99128
52.6536,97084
52.9008,98391
53.148,97763
53.3952,98353
53.6424,99108
53.8896,98667
54.1368,98428
54.384,99249
54.6312,98806
54.8784,99213
55.1256,99401
55.3728,99428
55.62,99029
55.8672,99702
56.1144,98637
56.3616,98053
56.6088,97185
56.856,97348
57.1032,96701
57.3504,97284
57.5976,96777
57.8448,95803
58.092,96809
58.3392,97195
58.5864,98080
58.8336,97224
59.0808,97579
59.328,98073
59.5752,97121
59.8224,97188
60.0696,97801
60.3168,96996
60.564,97084
60.8112,96280
61.0584,95901
61.3056,96548
61.5528,95632
61.8,96060
62.0472,94500
62.2944,94983
62.5416,93755
62.7888,94282
63.036,93418
63.2832,94194
63.5304,93888
63.7776,94252
64.0248,94498
64.272,94539
64.5192,93119
64.7664,92816
65.0136,93756
65.2608,94199
65.508,94495
65.7552,93908
66.0024,93658
66.2496,93825
66.4968,93396
66.744,92519
66.9912,93006
67.2384,92245
67.4856,92770
67.7328,93036
67.98,92805
68.2272,93367
68.4744,93124
68.7216,92742
68.9688,92022
69.216,91680
69.4632,92006
69.7104,91230
69.9576,91958
70.2048,91136
70.452,90382
70.6992,90260
70.9464,89935
71.1936,90090
71.4408,90213
71.688,91206
71.9352,90413
72.1824,88871
72.4296,88835
72.6768,88421
72.924,88027
73.1712,88055
73.4184,87076
73.6656,87348
73.9128,88541
74.16,87781
74.4072,87285
74.6544,87780
74.9016,88390
75.1488,87044
75.396,87035
75.6432,86748
75.8904,86817
76.1376,86957
76.3848,87257
76.632,87022
76.8792,86335
77.1264,85173
77.3736,85264
77.6208,84793
77.868,84185
78.1152,84367
78.3624,85851
78.6096,85690
78.8568,85337
79.104,84735
79.3512,85074
79.5984,84482
79.8456,84637
80.0928,84834
80.34,85147
80.5872,84940
80.8344,84936
81.0816,85560
81.3288,85297
81.576,84978
81.8232,83958
82.0704,85977
82.3176,85962
82.5648,84928
82.812,85392
83.0592,84264
83.3064,85357
83.5536,85900
83.8008,86100
84.048,86338
84.2952,85555
84.5424,85470
84.7896,84627
85.0368,84658
85.284,84730
85.5312,84335
85.7784,83934
86.0256,83571
86.2728,84116
86.52,84163
86.7672,84185
87.0144,84774
87.2616,84123
87.5088,83950
87.756,83851
88.0032,83672
88.2504,82783
88.4976,82911
88.7448,82621
88.992,82683
